#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
104.65,145,7812.792176
112.8,361,7817.894895
108.5,180,7820.198413
122.55,656,7829.023051
28.1,1200,7845.562383
14.25,1200,7863.981772
102.25,45,7864.582235
103.75,75,7865.558395
104.3,97,7866.808758
24.95,1200,7883.161903
15.65,1200,7899.319285
113.7,328,7903.610238
100.0,1,7903.622754
100.8,17,7903.833504
-998.8,1034,7918.044565
30.5,1200,7933.845883
104.8,141,7935.659567
114.05,365,7940.631541
-999.9,587,7948.721302
21.55,1200,7965.251612
101.75,36,7965.702165
106.75,135,7967.577767
28.45,1200,7983.933513
114.05,350,7988.755614
21.5,1200,8005.189937
106.95,176,8007.92161
5.55,1200,8024.326507
100.2,4,8024.383204
104.55,100,8025.668002
102.75,56,8026.383487
101.75,35,8026.833438
34.55,1200,8043.139948
8.9,1200,8059.491012
105.75,132,8061.19079
37.0,1200,8077.904653
123.25,688,8087.556499
104.35,87,8088.695551
106.2,127,8090.314674
104.65,93,8091.496442
19.35,1200,8107.816346
22.35,1200,8124.107637
105.9,192,8126.530056
11.2,1200,8142.896962
1.6,1200,8159.275979
14.65,1200,8175.635749
103.65,73,8176.557732
27.2,1200,8192.86029
105.45,109,8194.424563
123.45,707,8204.308153
104.3,86,8205.416267
15.55,1200,8221.858678
105.55,206,8224.489794
-998.2,890,8236.483915
105.05,101,8237.98103
-993.0,1146,8253.346713
105.75,179,8255.827651
102.2,44,8256.382041
8.8,1200,8272.506913
116.9,541,8280.228082
-990.75,1168,8296.266377
12.85,1200,8312.597666
114.0,286,8316.267692
12.35,1200,8332.579303
105.2,104,8333.90886
100.75,15,8334.097869
104.45,89,8335.216236
107.75,165,8337.477811
1.5,1200,8353.930137
38.75,1200,8370.2169
117.55,606,8378.686498
107.45,151,8380.611738
103.5,71,8381.502509
126.9,708,8391.424754
-998.15,816,8401.999024
109.65,264,8405.843371
104.65,93,8407.308972
107.6,155,8409.310721
132.55,830,8420.493899
-993.3,1031,8434.328324
110.25,214,8437.565575
112.7,408,8443.115295
-997.85,591,8450.725899
104.7,94,8451.993125
105.6,112,8453.850958
20.65,1200,8470.097841
104.75,95,8471.636174
110.2,271,8475.14905
107.5,332,8479.30609
117.95,380,8484.542079
113.75,333,8489.378361
23.6,1200,8505.683089
106.7,323,8509.981634
112.25,272,8513.423337
10.65,1200,8529.698001
106.0,143,8531.523486
23.05,1200,8550.166831
15.45,1200,8566.707679
10.5,1200,8582.942823
14.05,1200,8599.237994
107.75,338,8603.650143
103.85,77,8604.640886
105.6,112,8606.120336
110.4,425,8611.630132
107.55,152,8614.008496
105.05,101,8615.69813
103.65,73,8616.674315
26.55,1200,8633.518824
11.7,1200,8650.162625
17.25,1200,8666.628452
107.15,146,8668.504917
-993.5,1092,8683.536162
-999.7,721,8693.209001
29.0,1200,8709.704462
28.75,1200,8726.244243
105.8,116,8727.955973
11.3,1200,8744.270303
131.6,1126,8759.652307
-994.15,933,8771.918614
108.3,197,8775.073481
110.85,284,8778.990181
104.75,95,8780.201771
105.45,112,8781.623612
100.75,15,8781.812621
-1000.0,524,8788.619449
100.05,1,8788.640032
-993.85,836,8800.068241
105.7,116,8801.496003
104.0,84,8802.561588
130.8,1007,8816.3575
106.35,138,8818.198361
101.65,94,8819.48487
110.4,285,8824.006326
100.05,1,8824.019344
104.2,110,8825.439288
-996.75,195,8827.98295
129.9,1039,8842.094147
9.6,1200,8858.566791
100.05,1,8858.582833
11.95,1200,8874.90054
111.0,339,8879.427538
103.9,224,8882.279939
104.85,97,8883.61676
26.2,1200,8900.181813
12.8,1200,8916.496221
5.6,1200,8933.004338
104.45,241,8936.570073
-995.1,272,8940.242968
108.5,197,8942.78482
-994.9,335,8947.090548
15.9,1200,8963.430219
118.95,641,8972.467525
101.8,36,8972.951495
-999.2,629,8981.592098
104.4,88,8982.925853
31.05,1200,8999.207974
115.55,684,9008.156297
-982.95,1102,9023.371318
22.75,1200,9039.685197
26.35,1200,9055.948513
115.45,364,9060.984386
22.45,1200,9077.508676
102.4,105,9079.19661
5.65,1200,9095.803936
31.95,1200,9112.121445
106.6,136,9114.056146
110.75,475,9120.265926
-994.15,240,9123.304102
-985.5,857,9134.826654
131.5,993,9148.597568
42.05,1200,9164.73831
105.1,106,9166.091485
-994.0,269,9169.655752
105.5,112,9171.118775
100.05,1,9171.132315
-994.4,250,9174.995244
104.0,157,9177.137435
-988.95,639,9185.429507
104.5,92,9186.602036
-984.1,896,9198.491314
10.4,1200,9214.36463
111.6,327,9218.544467
12.35,1200,9235.859557
7.05,1200,9252.303168
18.65,1200,9268.863822
105.05,105,9270.478548
102.8,125,9272.280279
8.6,1200,9288.487476
105.2,104,9289.807621
103.6,73,9290.85765
111.3,392,9295.99399
104.8,96,9297.247567
111.45,247,9300.77488
35.9,1200,9317.262191
104.85,97,9318.906663
105.0,154,9320.978826
39.05,1200,9337.424466
3.35,1200,9353.613756
105.1,234,9356.764807
109.35,471,9363.036127
108.65,178,9365.780485
111.9,354,9370.685003
-992.55,405,9376.081415
104.05,81,9377.132725
102.65,115,9378.631149
105.35,112,9380.087487
108.85,251,9383.972873
104.4,89,9385.120575
105.65,113,9386.603625
106.1,122,9388.177886
110.25,220,9391.197387
104.0,81,9392.249185
127.95,585,9400.683261
118.35,649,9408.951838
